,r2
978,-0.00024987854710822204
979,-7.435485921693566e-05
980,-0.0019139503054767712
981,-7.435485921693566e-05
982,-3.140098649670941e-05
983,-7.435485921693566e-05
984,-0.0019139503054767712
985,-0.0019139503054767712
986,-0.00024987854710822204
987,-7.435485921693566e-05
988,-0.0019139503054767712
989,-0.0019139503054767712
990,
991,-0.0019139503054767712
992,-0.0019139503054767712
993,-7.435485921693566e-05
994,-0.00024987854710822204
995,-0.0019139503054767712
996,-0.0019139503054767712
997,-0.0019139503054767712
998,
999,-0.0019139503054767712
1000,-0.0019139503054767712
1001,-0.0019139503054767712
1002,-0.00024987854710822204
1003,-0.0019139503054767712
1004,-7.435485921693566e-05
1005,-7.435485921693566e-05
1006,-3.140098649670941e-05
1007,-0.0019139503054767712
1008,-7.435485921693566e-05
1009,-0.0019139503054767712
1010,-0.00024987854710822204
1011,-0.0019139503054767712
1012,-7.435485921693566e-05
1013,-0.0019139503054767712
1014,
1015,-0.0019139503054767712
1016,-0.0019139503054767712
1017,-7.435485921693566e-05
1018,-0.00024987854710822204
1019,-0.0019139503054767712
1020,-0.0019139503054767712
1021,-0.0019139503054767712
1022,
1023,-0.0019139503054767712
1024,-0.0019139503054767712
1025,-0.0019139503054767712
1026,-7.435485921693566e-05
1027,-0.0019139503054767712
1028,-0.00024987854710822204
1029,-0.0019139503054767712
1030,-7.435485921693566e-05
1031,-0.0019139503054767712
1032,-3.140098649670941e-05
1033,-7.435485921693566e-05
1034,-7.435485921693566e-05
1035,-0.0019139503054767712
1036,-0.00024987854710822204
1037,-0.0019139503054767712
1038,-0.0019139503054767712
1039,-0.0019139503054767712
1040,
1041,-0.0019139503054767712
1042,-0.0019139503054767712
1043,-0.0019139503054767712
1044,-0.00024987854710822204
1045,-7.435485921693566e-05
1046,-0.0019139503054767712
1047,-0.0019139503054767712
1048,
1049,-0.0019139503054767712
1050,-0.0019139503054767712
1051,-7.435485921693566e-05
1052,-0.00024987854710822204
1053,-0.0019139503054767712
1054,-0.0019139503054767712
1055,-7.435485921693566e-05
1056,-3.140098649670941e-05
1057,-7.435485921693566e-05
1058,-0.0019139503054767712
1059,-7.435485921693566e-05
1060,-0.00024987854710822204
1061,-0.0019139503054767712
1062,-7.435485921693566e-05
1063,-7.435485921693566e-05
1064,-3.140098649670941e-05
1065,-0.0019139503054767712
1066,-7.435485921693566e-05
1067,-7.435485921693566e-05
1068,-9.308945548788597e-06
1069,-7.435485921693566e-05
1070,-7.435485921693566e-05
1071,-7.435485921693566e-05
1072,-3.140098649670941e-05
1073,-0.0019139503054767712
1074,-0.0019139503054767712
1075,-7.435485921693566e-05
1076,-0.00024987854710822204
1077,-0.0019139503054767712
